Datetime(local),Datetime(UTC),Position_filter_1,Position_filter_2,Flux,UID
2022-03-11T09:08:67,2022-03-11T14:08:67,92660.9956055,--,0.000207639877105,--
2022-03-11T09:08:68,2022-03-11T14:08:68,92661.9953613,--,0.000207588123079,--
2022-03-11T09:08:69,2022-03-11T14:08:69,92662.9951172,--,0.000207141942968,--
2022-03-11T09:08:70,2022-03-11T14:08:70,92663.994873,--,0.000206842813968,--
2022-03-11T09:08:71,2022-03-11T14:08:71,92664.9946289,--,0.000206703335356,--
2022-03-11T09:08:72,2022-03-11T14:08:72,92665.9943848,--,0.000206905052829,--
2022-03-11T09:08:73,2022-03-11T14:08:73,92666.9941406,--,0.000207377578444,--
2022-03-11T09:08:74,2022-03-11T14:08:74,92667.9938965,--,0.000207561551385,--
2022-03-11T09:08:75,2022-03-11T14:08:75,92668.9936523,--,0.000207587699792,--
2022-03-11T09:08:76,2022-03-11T14:08:76,92669.9934082,--,0.000207615948504,--
2022-03-11T09:08:77,2022-03-11T14:08:77,92670.9931641,--,0.00020763109847,--
2022-03-11T09:08:78,2022-03-11T14:08:78,92671.9929199,--,0.000207621363917,--
2022-03-11T09:08:79,2022-03-11T14:08:79,92672.9926758,--,0.000207645128924,--
2022-03-11T09:08:80,2022-03-11T14:08:80,92673.9924316,--,0.000207670874148,--
2022-03-11T09:08:81,2022-03-11T14:08:81,92674.9921875,--,0.000207765493383,--
2022-03-11T09:08:82,2022-03-11T14:08:82,92675.9919434,--,0.000207797922508,--
2022-03-11T09:08:83,2022-03-11T14:08:83,92676.9916992,--,0.00020779203159,--
2022-03-11T09:08:84,2022-03-11T14:08:84,92678.0024414,--,0.000207791733532,--
2022-03-11T09:08:85,2022-03-11T14:08:85,92679.0021973,--,0.000207774762324,--
2022-03-11T09:08:86,2022-03-11T14:08:86,92680.0019531,--,0.000207743880502,--
2022-03-11T09:08:87,2022-03-11T14:08:87,92681.001709,--,0.000207691045177,--
2022-03-11T09:08:88,2022-03-11T14:08:88,92682.0014648,--,0.000207616419563,--
2022-03-11T09:08:89,2022-03-11T14:08:89,92683.0012207,--,0.000207509388772,--
2022-03-11T09:08:90,2022-03-11T14:08:90,92684.0009766,--,0.000207495233179,--
2022-03-11T09:08:91,2022-03-11T14:08:91,92685.0007324,--,0.000207535330936,--
2022-03-11T09:08:92,2022-03-11T14:08:92,92686.0004883,--,0.000207563987367,--
2022-03-11T09:08:93,2022-03-11T14:08:93,92687.0002441,--,0.000207659986387,--
2022-03-11T09:08:94,2022-03-11T14:08:94,92688,--,0.000207727101838,--
2022-03-11T09:08:95,2022-03-11T14:08:95,92688.9997559,--,0.000207736476793,--
2022-03-11T09:08:96,2022-03-11T14:08:96,92689.9995117,--,0.000207724560227,--
2022-03-11T09:08:97,2022-03-11T14:08:97,92690.9992676,--,0.000207655541282,--
2022-03-11T09:08:98,2022-03-11T14:08:98,92691.9990234,--,0.000207548967383,--
2022-03-11T09:08:99,2022-03-11T14:08:99,92692.9987793,--,0.000207420127063,--
2022-03-11T09:08:100,2022-03-11T14:08:100,92693.9985352,--,0.000207593312245,--
2022-03-11T09:08:101,2022-03-11T14:08:101,92694.998291,--,0.000207753010428,--
2022-03-11T09:08:102,2022-03-11T14:08:102,92695.9980469,--,0.000207810890735,--
2022-03-11T09:08:103,2022-03-11T14:08:103,92696.9978027,--,0.00020786282287,--
2022-03-11T09:08:104,2022-03-11T14:08:104,92697.9975586,--,0.000207843795277,--
2022-03-11T09:08:105,2022-03-11T14:08:105,92698.9973145,--,0.000207772494252,--
2022-03-11T09:08:106,2022-03-11T14:08:106,92699.9970703,--,0.000207742756664,--
2022-03-11T09:08:107,2022-03-11T14:08:107,92700.9968262,--,0.000207779735387,--
2022-03-11T09:08:108,2022-03-11T14:08:108,92701.996582,--,0.000207823196311,--
2022-03-11T09:08:109,2022-03-11T14:08:109,92702.9963379,--,0.000207860607861,--
2022-03-11T09:08:110,2022-03-11T14:08:110,92703.9960938,--,0.000207833560622,--
2022-03-11T09:08:111,2022-03-11T14:08:111,92704.9958496,--,0.000207743919429,--
2022-03-11T09:08:112,2022-03-11T14:08:112,92705.9956055,--,0.000207645561272,--
2022-03-11T09:08:113,2022-03-11T14:08:113,92706.9953613,--,0.000207327861673,--
2022-03-11T09:08:114,2022-03-11T14:08:114,92707.9951172,--,0.000206384568721,--
2022-03-11T09:08:115,2022-03-11T14:08:115,92708.994873,--,0.000204176247213,--
